route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
Azul,daily,A1,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A10,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A11,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A12,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A13,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A14,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A15,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A16,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A17,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A18,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A19,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A2,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A20,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A21,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A22,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A23,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A24,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A3,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A4,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A5,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A6,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A7,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A8,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A9,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A25,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A26,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A27,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A28,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A29,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A30,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A31,Est Autobuses Valladolid,2,Azul_2
Azul,daily,A32,Est Autobuses Valladolid,2,Azul_2
Roja,daily,R1,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R10,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R11,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R12,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R13,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R14,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R15,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R16,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R17,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R18,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R19,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R2,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R20,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R21,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R22,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R23,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R24,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R25,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R3,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R4,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R5,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R6,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R7,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R8,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R9,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R26,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R27,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R28,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R29,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R30,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R31,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R32,Est de Autobuses Valladolid,2,Roja_2
Roja,daily,R33,Est de Autobuses Valladolid,2,Roja_2
